ISO2 Code,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
AF,15190.0,15190.0,15190.0,17273.0,17273.0,15180.0,19223.0,19515.0,19757.0,18119.0,17500.0,19048.0,20000.0,20000.0,20714.0,21333.0,19048.0,20381.0,21311.0,21728.0,22414.0,21994.0,22581.0,22416.0,22482.0,22400.0,20000.0,19056.0,18824.0,19029.0,19364.0,17143.0,17143.0,19000.0,22941.0,19429.0,22222.0,25000.0,20000.0,20000.0,20000.0,28741.0,29931.0,23744.0,30313.0,33750.0,32471.0,32211.0,32250.0,32308.0,32000.0,24390.0,24980.0,24409.0,25000.0,29963.0,30919.0,29963.0,29993.0,29789.0,30071.0
AZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7292.0,9461.0,10059.0,19890.0,36917.0,46082.0,48046.0,44415.0,50191.0,48495.0,46532.0,47042.0,39810.0,35903.0,42375.0,33886.0,27973.0,25279.0,23963.0,20947.0,22249.0,22808.0,24646.0,23696.0,21538.0,31189.0,29684.0,27613.0,31314.0,32960.0
BD,17005.0,15302.0,17690.0,17070.0,16827.0,15827.0,16944.0,17466.0,17459.0,16862.0,16022.0,15716.0,18083.0,17289.0,18531.0,17839.0,19398.0,19385.0,18809.0,20197.0,19545.0,20145.0,22345.0,21454.0,21693.0,21783.0,22399.0,22805.0,25562.0,25661.0,26592.0,26893.0,27185.0,25328.0,26527.0,27629.0,27431.0,29358.0,32139.0,34836.0,34020.0,34902.0,35768.0,35359.0,37814.0,38541.0,40833.0,41441.0,42404.0,43422.0,43917.0,44206.0,45317.0,45382.0,45518.0,45863.0,46619.0,47257.0,47402.0,48088.0,48667.0
BT,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20500.0,20172.0,20000.0,21560.0,19375.0,18000.0,17568.0,16574.0,16538.0,20976.0,12085.0,13133.0,14392.0,16071.0,16667.0,16508.0,17223.0,17973.0,18629.0,17038.0,17391.0,19987.0,22871.0,28816.0,26896.0,27461.0,27043.0,39983.0,27993.0,31400.0,32382.0,36893.0,36985.0,37635.0,40192.0,38796.0,40745.0,42362.0,40698.0,42644.0,41593.0
BN,17306.0,18527.0,13711.0,13235.0,11737.0,13922.0,15871.0,15868.0,18581.0,19621.0,16024.0,16175.0,24251.0,29040.0,27178.0,19647.0,15034.0,15917.0,21759.0,13797.0,13643.0,14825.0,15797.0,15571.0,12394.0,21359.0,10630.0,21685.0,22286.0,15500.0,16000.0,12333.0,22571.0,16702.0,16387.0,16519.0,12497.0,10707.0,5263.0,6500.0,7292.0,7294.0,7928.0,8190.0,8728.0,8091.0,7255.0,7008.0,5147.0,5801.0,9227.0,9772.0,9664.0,14542.0,21460.0,15584.0,16604.0,20040.0,19410.0,29442.0,28852.0
KH,10921.0,8920.0,11742.0,11611.0,10666.0,10889.0,12163.0,13989.0,12876.0,15898.0,14532.0,13774.0,12947.0,11441.0,12000.0,11000.0,10000.0,10000.0,6951.0,11924.0,11314.0,12068.0,12649.0,12883.0,12497.0,13770.0,13248.0,13699.0,14358.0,13477.0,13962.0,13178.0,13069.0,14877.0,17920.0,18116.0,17706.0,17884.0,19433.0,21155.0,20699.0,19164.0,21012.0,19773.0,24793.0,24893.0,26216.0,27457.0,28363.0,29697.0,29574.0,30892.0,31691.0,32611.0,33350.0,34443.0,33974.0,34011.0,33353.0,33851.0,35075.0
HK,20168.0,17201.0,18408.0,13962.0,24362.0,17563.0,19331.0,17787.0,23654.0,23669.0,22888.0,20568.0,22265.0,16159.0,17924.0,18863.0,18827.0,18817.0,15152.0,21212.0,15000.0,15385.0,13333.0,21818.0,25000.0,22000.0,12500.0,30000.0,30000.0,20000.0,,,,,,,19226.0,19245.0,19292.0,19233.0,19058.0,19899.0,19898.0,19898.0,19899.0,,19854.0,19752.0,20004.0,20004.0,20004.0,20004.0,20004.0,20306.0,20794.0,20957.0,21011.0,21188.0,20377.0,20490.0,20604.0
CN,20434.0,23408.0,26642.0,28062.0,29441.0,31277.0,30811.0,31653.0,31269.0,34025.0,33026.0,32288.0,34727.0,34926.0,35178.0,34771.0,36226.0,39781.0,42481.0,41338.0,43280.0,48913.0,50961.0,53726.0,52563.0,53376.0,54130.0,52868.0,55085.0,57261.0,56402.0,58031.0,58479.0,58311.0,60248.0,62122.0,63192.0,63662.0,63447.0,62716.0,61634.0,61889.0,60607.0,63107.0,62601.0,62796.0,64329.0,65625.0,65853.0,65530.0,66873.0,67769.0,67173.0,68132.0,68913.0,68657.0,69169.0,70266.0,70601.0,70432.0,71135.0
TW,32663.0,33723.0,33583.0,37244.0,38454.0,38086.0,38647.0,40166.0,37126.0,39944.0,38744.0,41429.0,39310.0,39931.0,40085.0,43536.0,43095.0,41120.0,42964.0,46537.0,45044.0,47641.0,48706.0,48419.0,48784.0,46966.0,47907.0,49503.0,49537.0,50272.0,53909.0,52118.0,57119.0,56348.0,57004.0,55524.0,56064.0,51975.0,54271.0,56127.0,51984.0,58774.0,60571.0,60486.0,54540.0,59199.0,52417.0,57757.0,61989.0,59501.0,65536.0,65202.0,58835.0,63907.0,62802.0,57983.0,63859.0,71814.0,66325.0,66877.0,69675.0
KP,43071.0,43116.0,46056.0,45335.0,39688.0,42566.0,39536.0,38260.0,44215.0,43915.0,45419.0,43613.0,45588.0,45167.0,45019.0,45295.0,47091.0,45011.0,46365.0,40714.0,45446.0,31406.0,32000.0,34000.0,32760.0,37008.0,34403.0,33008.0,34000.0,30000.0,70068.0,76014.0,81273.0,54494.0,34639.0,24586.0,24992.0,39776.0,40397.0,31589.0,36017.0,37505.0,38425.0,40652.0,44282.0,42484.0,32045.0,50176.0,41054.0,42561.0,43415.0,50817.0,53035.0,50019.0,41831.0,54119.0,50158.0,44277.0,60186.0,44930.0,39976.0
IN,15419.0,13959.0,15498.0,16171.0,12936.0,12952.0,15484.0,16134.0,16094.0,16849.0,17110.0,16046.0,17259.0,15744.0,18582.0,16372.0,19613.0,19912.0,16105.0,20002.0,19623.0,18497.0,21833.0,21272.0,23292.0,22052.0,21991.0,25486.0,26160.0,26125.0,26271.0,26092.0,28303.0,28645.0,26972.0,28226.0,28457.0,28805.0,29782.0,28508.0,31158.0,26163.0,31177.0,29756.0,31537.0,31759.0,32924.0,32509.0,32366.0,33587.0,35878.0,36909.0,36070.0,35638.0,36077.0,37902.0,38639.0,39568.0,40837.0,41380.0,42137.0
ID,17623.0,17855.0,17226.0,17630.0,17708.0,17748.0,17592.0,21398.0,22487.0,23763.0,24254.0,24556.0,25572.0,26412.0,26297.0,27843.0,27929.0,28862.0,29855.0,32928.0,34934.0,37363.0,38530.0,39060.0,39418.0,39773.0,40391.0,41108.0,42470.0,43018.0,43465.0,43446.0,43750.0,43453.0,43487.0,44168.0,44322.0,41974.0,42519.0,44007.0,43879.0,44691.0,45426.0,45365.0,45739.0,46201.0,46468.0,49165.0,50105.0,50253.0,49995.0,51510.0,51668.0,51477.0,53588.0,50973.0,50690.0,52031.0,51137.0,51279.0,52263.0
IR,21429.0,28367.0,28700.0,28665.0,28389.0,25594.0,27988.0,27374.0,28022.0,27937.0,30407.0,31830.0,30737.0,30115.0,31020.0,37893.0,34665.0,39547.0,32726.0,28356.0,35366.0,33223.0,28305.0,33608.0,37111.0,37873.0,34220.0,30356.0,35723.0,37787.0,40469.0,39597.0,38758.0,40097.0,40683.0,44722.0,41727.0,45053.0,39994.0,36915.0,38661.0,47241.0,47639.0,41580.0,43573.0,41426.0,43257.0,39285.0,39883.0,44187.0,35717.0,41404.0,43363.0,43542.0,44299.0,49008.0,49292.0,49292.0,43242.0,36818.0,36818.0
IQ,27381.0,28275.0,26039.0,28362.0,27451.0,28013.0,30575.0,32431.0,30000.0,24027.0,28118.0,28511.0,24487.0,22056.0,20261.0,31171.0,31384.0,31434.0,26882.0,30099.0,29761.0,28356.0,22597.0,27765.0,28348.0,28127.0,27986.0,27855.0,31863.0,28889.0,22008.0,18947.0,18727.0,23497.0,18000.0,22500.0,20165.0,23438.0,13846.0,6000.0,12800.0,25000.0,30508.0,28409.0,28879.0,28867.0,31630.0,29281.0,31511.0,32482.0,35762.0,45468.0,47162.0,51049.0,44776.0,48056.0,48975.0,33556.0,45014.0,45688.0,43922.0
JP,48794.0,51372.0,50821.0,50111.0,49489.0,50841.0,57490.0,57183.0,55505.0,56348.0,52439.0,58458.0,60175.0,58605.0,61856.0,54797.0,61683.0,61758.0,59864.0,51279.0,56295.0,56881.0,57008.0,64138.0,62246.0,63218.0,61901.0,58858.0,61679.0,63279.0,58590.0,62754.0,45783.0,67703.0,63432.0,65402.0,64163.0,62188.0,64143.0,67023.0,66354.0,65823.0,58498.0,64150.0,66483.0,63359.0,65111.0,67786.0,65222.0,65076.0,66462.0,68632.0,69315.0,69801.0,68754.0,69643.0,69216.0,72150.0,71701.0,71607.0,74967.0
KZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39915.0,36871.0,27937.0,21932.0,26155.0,30765.0,32162.0,28070.0,29723.0,28714.0,30288.0,32696.0,34182.0,33518.0,32966.0,33678.0,33736.0,35323.0,39697.0,37152.0,37712.0,38500.0,39573.0,42756.0,47480.0,46841.0,47590.0,54983.0,54438.0,52132.0
KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14737.0,9600.0,13000.0,14889.0,17037.0,19180.0,20042.0,24698.0,30488.0,29859.0,31290.0,30069.0,30052.0,29517.0,29633.0,28236.0,28548.0,33041.0,32935.0,30898.0,32219.0,34438.0,35016.0,35081.0,35185.0,35669.0,35945.0,36464.0,37288.0,37357.0
LA,8710.0,8644.0,8667.0,8024.0,8079.0,8108.0,8448.0,11753.0,13471.0,13589.0,12204.0,12287.0,13290.0,13190.0,13382.0,12600.0,12345.0,12512.0,12577.0,14386.0,15498.0,14825.0,15851.0,20166.0,21028.0,22588.0,22272.0,19118.0,23552.0,22935.0,21977.0,26555.0,22668.0,25812.0,25323.0,25526.0,27607.0,27116.0,29304.0,30606.0,31264.0,32739.0,31403.0,32831.0,34890.0,35855.0,37233.0,37772.0,38419.0,35909.0,37513.0,37367.0,38315.0,41786.0,42501.0,42625.0,42251.0,42264.0,41548.0,38181.0,41031.0
MY,21086.0,20678.0,21525.0,19968.0,21578.0,21408.0,20165.0,21714.0,23246.0,23858.0,24736.0,23980.0,26342.0,28311.0,26615.0,27217.0,26252.0,25695.0,28388.0,28524.0,28409.0,27619.0,26041.0,25187.0,26648.0,26399.0,24686.0,25251.0,26251.0,27694.0,28178.0,29918.0,30348.0,30614.0,31619.0,32510.0,30676.0,28829.0,29415.0,30640.0,31101.0,32385.0,33596.0,33260.0,34221.0,33907.0,35277.0,35836.0,37205.0,36361.0,37468.0,37972.0,38763.0,29855.0,40223.0,39775.0,37496.0,37704.0,35009.0,36538.0,37452.0
MM,16066.0,16469.0,15957.0,17097.0,16614.0,14694.0,16510.0,16843.0,17092.0,16973.0,17161.0,16247.0,17629.0,17574.0,18307.0,18974.0,19453.0,21012.0,23521.0,27739.0,29419.0,31505.0,30666.0,30981.0,30718.0,30279.0,30424.0,29084.0,29174.0,29353.0,28400.0,28882.0,30063.0,31182.0,29290.0,30159.0,30308.0,30793.0,32405.0,33301.0,33639.0,33655.0,34883.0,35785.0,36899.0,37694.0,38639.0,39688.0,39917.0,40026.0,37733.0,37512.0,37930.0,38464.0,38718.0,38181.0,38218.0,38568.0,37957.0,38043.0,38108.0
NP,19375.0,19342.0,19349.0,19991.0,19865.0,18248.0,18361.0,18745.0,19104.0,19486.0,19520.0,17633.0,19690.0,19779.0,20742.0,18914.0,18056.0,18527.0,16424.0,19320.0,19746.0,14489.0,20664.0,19678.0,20161.0,17790.0,20950.0,22635.0,23657.0,24067.0,22826.0,20481.0,24100.0,21237.0,23910.0,24554.0,24170.0,24434.0,24722.0,27028.0,27454.0,26754.0,26753.0,28573.0,27825.0,27166.0,25570.0,27750.0,29074.0,27164.0,29805.0,33120.0,31709.0,33942.0,33596.0,31543.0,33690.0,35058.0,37607.0,38048.0,38153.0
PK,13915.0,13856.0,13902.0,14937.0,14174.0,14523.0,15835.0,19604.0,22201.0,21939.0,23293.0,23624.0,24353.0,21632.0,22964.0,23472.0,23297.0,24230.0,23710.0,24235.0,26035.0,26121.0,25065.0,24883.0,23499.0,25320.0,24765.0,23511.0,22925.0,23151.0,23199.0,23686.0,27397.0,24333.0,27522.0,28685.0,28048.0,28930.0,30744.0,30312.0,27542.0,30192.0,29551.0,29914.0,31742.0,31604.0,33176.0,35199.0,35809.0,30588.0,35939.0,35966.0,37528.0,36339.0,37240.0,37716.0,38526.0,25629.0,36653.0,37868.0,39532.0
PH,12299.0,12548.0,12447.0,12478.0,13099.0,13223.0,13804.0,13339.0,17098.0,17460.0,15980.0,14431.0,14624.0,15458.0,16636.0,17967.0,20142.0,20253.0,21131.0,22105.0,22977.0,26342.0,23227.0,24300.0,25879.0,27173.0,26229.0,26442.0,27046.0,29786.0,28243.0,28545.0,28742.0,28859.0,28043.0,28558.0,29329.0,26986.0,29468.0,30681.0,31866.0,32797.0,33696.0,35130.0,35876.0,36844.0,38008.0,37703.0,35890.0,36224.0,36776.0,38448.0,38852.0,40019.0,38980.0,38690.0,40061.0,39718.0,40449.0,40888.0,41540.0
KR,41480.0,35768.0,43974.0,44720.0,39634.0,44257.0,40551.0,38593.0,46623.0,45520.0,46697.0,46146.0,49504.0,51257.0,53243.0,59667.0,67868.0,69380.0,63905.0,43076.0,58410.0,61510.0,61926.0,64754.0,63514.0,63688.0,60173.0,65550.0,64456.0,62057.0,60346.0,62728.0,56381.0,61909.0,60507.0,67866.0,69507.0,64123.0,66272.0,67110.0,68381.0,63495.0,60542.0,67291.0,65682.0,66010.0,62736.0,69123.0,70335.0,65138.0,65774.0,63652.0,67638.0,69131.0,72197.0,72228.0,70034.0,70430.0,68731.0,64881.0,71143.0
SA,28000.0,26500.0,28492.0,25000.0,23333.0,30000.0,38023.0,38023.0,30000.0,30000.0,20000.0,14468.0,10000.0,10000.0,10000.0,10000.0,15917.0,24214.0,19852.0,14667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968.0,1417.0,17391.0,23353.0,24012.0
LK,18626.0,19539.0,19547.0,19962.0,17696.0,18365.0,21259.0,23968.0,25654.0,22485.0,20119.0,20540.0,19539.0,20104.0,19325.0,19712.0,21441.0,22521.0,24282.0,25897.0,26462.0,28896.0,31977.0,27316.0,30777.0,30944.0,31318.0,30367.0,29916.0,30643.0,30215.0,30544.0,31350.0,29933.0,31586.0,31231.0,32451.0,35102.0,32810.0,34374.0,35228.0,34889.0,33696.0,36516.0,35465.0,36705.0,38337.0,36800.0,38748.0,40558.0,35699.0,36057.0,38897.0,38377.0,38758.0,38728.0,30103.0,37752.0,47954.0,48021.0,45709.0
SY,25000.0,26100.0,24473.0,20000.0,19091.0,23203.0,23293.0,19493.0,22694.0,18171.0,15345.0,26038.0,6667.0,44389.0,49838.0,36881.0,30000.0,20000.0,20000.0,45000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,55714.0,74118.0,74211.0,76000.0,101765.0,97222.0,50000.0,,,,,,,,,,,,,,,,,,,,,,,,,
TJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20184.0,18306.0,15385.0,18000.0,17268.0,27093.0,24566.0,24908.0,37900.0,26100.0,28523.0,34604.0,36408.0,32844.0,31415.0,30707.0,52616.0,43558.0,51740.0,58186.0,62517.0,66592.0,71960.0,72909.0,70534.0,78042.0,76490.0,85882.0,76744.0,52781.0
TH,16585.0,17202.0,18725.0,18384.0,17805.0,18360.0,17497.0,17882.0,18474.0,20207.0,19369.0,18308.0,19242.0,18254.0,18308.0,18450.0,15910.0,19552.0,18209.0,18878.0,19521.0,18880.0,20351.0,20670.0,20608.0,20522.0,20147.0,21465.0,20853.0,19556.0,22534.0,21745.0,20497.0,23521.0,24158.0,24098.0,23788.0,24180.0,24244.0,26128.0,28739.0,29338.0,29339.0,28895.0,29974.0,29503.0,30441.0,29974.0,29079.0,29921.0,31867.0,31865.0,31463.0,30586.0,28506.0,29678.0,30690.0,30380.0,29164.0,29064.0,29867.0
TL,19949.0,17000.0,15385.0,13652.0,16599.0,16599.0,17576.0,19605.0,18239.0,17933.0,15034.0,17939.0,19486.0,23000.0,20833.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20000.0,20069.0,20000.0,20000.0,21305.0,21562.0,25873.0,26361.0,26237.0,27169.0,27453.0,25759.0,25822.0,26726.0,26742.0,26651.0,26489.0,30000.0,15384.0,15330.0,15025.0,15215.0,14722.0,12313.0,15105.0,17587.0,30970.0,30898.0,27642.0,28451.0,31192.0,31186.0,31082.0,31168.0,27055.0,24877.0,21418.0,26430.0,16966.0
TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22794.0,22746.0,24865.0,27103.0,12750.0,8406.0,6850.0,11100.0,3900.0,11143.0,19048.0,26071.0,22000.0,21818.0,24107.0,13000.0,11000.0,16000.0,17000.0,15000.0,13288.0,11608.0,10671.0,10531.0,10063.0,41304.0,41304.0,40298.0,42309.0,40450.0
UZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32029.0,32191.0,31622.0,19747.0,19249.0,21347.0,25121.0,26973.0,35224.0,23256.0,28820.0,28992.0,28453.0,32717.0,36927.0,41208.0,33639.0,44656.0,36098.0,51843.0,42689.0,75773.0,72971.0,60389.0,62956.0,55467.0,52464.0,48466.0,61877.0,68373.0
VN,18966.0,19937.0,21400.0,19441.0,19414.0,18079.0,19159.0,17095.0,17880.0,21534.0,22265.0,21935.0,22117.0,21564.0,21198.0,22327.0,19378.0,17922.0,20716.0,20798.0,21966.0,25194.0,26272.0,27323.0,27761.0,28060.0,26954.0,29613.0,32136.0,31815.0,31133.0,33342.0,34815.0,35657.0,36898.0,37689.0,38768.0,40007.0,41018.0,42432.0,42853.0,45903.0,46387.0,48553.0,48891.0,48943.0,49869.0,52336.0,52372.0,53416.0,55383.0,56353.0,55726.0,57538.0,57597.0,55738.0,55476.0,58180.0,58371.0,59212.0,60740.0
