Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Unit,Y1961,Y1961F,Y1961N,Y1962,Y1962F,Y1962N,Y1963,Y1963F,Y1963N,Y1964,Y1964F,Y1964N,Y1965,Y1965F,Y1965N,Y1966,Y1966F,Y1966N,Y1967,Y1967F,Y1967N,Y1968,Y1968F,Y1968N,Y1969,Y1969F,Y1969N,Y1970,Y1970F,Y1970N,Y1971,Y1971F,Y1971N,Y1972,Y1972F,Y1972N,Y1973,Y1973F,Y1973N,Y1974,Y1974F,Y1974N,Y1975,Y1975F,Y1975N,Y1976,Y1976F,Y1976N,Y1977,Y1977F,Y1977N,Y1978,Y1978F,Y1978N,Y1979,Y1979F,Y1979N,Y1980,Y1980F,Y1980N,Y1981,Y1981F,Y1981N,Y1982,Y1982F,Y1982N,Y1983,Y1983F,Y1983N,Y1984,Y1984F,Y1984N,Y1985,Y1985F,Y1985N,Y1986,Y1986F,Y1986N,Y1987,Y1987F,Y1987N,Y1988,Y1988F,Y1988N,Y1989,Y1989F,Y1989N,Y1990,Y1990F,Y1990N,Y1991,Y1991F,Y1991N,Y1992,Y1992F,Y1992N,Y1993,Y1993F,Y1993N,Y1994,Y1994F,Y1994N,Y1995,Y1995F,Y1995N,Y1996,Y1996F,Y1996N,Y1997,Y1997F,Y1997N,Y1998,Y1998F,Y1998N,Y1999,Y1999F,Y1999N,Y2000,Y2000F,Y2000N,Y2001,Y2001F,Y2001N,Y2002,Y2002F,Y2002N,Y2003,Y2003F,Y2003N,Y2004,Y2004F,Y2004N,Y2005,Y2005F,Y2005N,Y2006,Y2006F,Y2006N,Y2007,Y2007F,Y2007N,Y2008,Y2008F,Y2008N,Y2009,Y2009F,Y2009N,Y2010,Y2010F,Y2010N,Y2011,Y2011F,Y2011N,Y2012,Y2012F,Y2012N,Y2013,Y2013F,Y2013N,Y2014,Y2014F,Y2014N,Y2015,Y2015F,Y2015N,Y2016,Y2016F,Y2016N,Y2017,Y2017F,Y2017N,Y2018,Y2018F,Y2018N,Y2019,Y2019F,Y2019N,Y2020,Y2020F,Y2020N,Y2021,Y2021F,Y2021N
"2","'004","Afghanistan","27","'0113","Rice","5419","Yield","100 g/ha","15190.000000","E",,"15190.000000","E",,"15190.000000","E",,"17273.000000","E",,"17273.000000","E",,"15180.000000","E",,"19223.000000","E",,"19515.000000","E",,"19757.000000","E",,"18119.000000","E",,"17500.000000","E",,"19048.000000","E",,"20000.000000","E",,"20000.000000","E",,"20714.000000","E",,"21333.000000","E",,"19048.000000","E",,"20381.000000","E",,"21311.000000","E",,"21728.000000","E",,"22414.000000","E",,"21994.000000","X","Unofficial figure","22581.000000","X","Unofficial figure","22416.000000","X","Unofficial figure","22482.000000","X","Unofficial figure","22400.000000","E",,"20000.000000","I",,"19056.000000","E",,"18824.000000","E",,"19029.000000","E",,"19364.000000","A",,"17143.000000","E",,"17143.000000","E",,"19000.000000","E",,"22941.000000","E",,"19429.000000","E",,"22222.000000","A",,"25000.000000","A",,"20000.000000","A",,"20000.000000","A",,"20000.000000","A",,"28741.000000","A",,"29931.000000","A",,"23744.000000","A",,"30313.000000","A",,"33750.000000","A",,"32471.000000","A",,"32211.000000","A",,"32250.000000","A",,"32308.000000","A",,"32000.000000","A",,"24390.000000","A",,"24980.000000","A",,"24409.000000","A",,"25000.000000","A",,"29963.000000","A",,"30919.000000","A",,"29963.000000","A",,"29993.000000","A",,"29789.000000","A",,"30071.000000","E",
"52","'031","Azerbaijan","27","'0113","Rice","5419","Yield","100 g/ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7292.000000","A",,"9461.000000","A",,"10059.000000","A",,"19890.000000","A",,"36917.000000","A",,"46082.000000","A",,"48046.000000","A",,"44415.000000","A",,"50191.000000","A",,"48495.000000","A",,"46532.000000","A",,"47042.000000","A",,"39810.000000","A",,"35903.000000","A",,"42375.000000","A",,"33886.000000","A",,"27973.000000","A",,"25279.000000","A",,"23963.000000","A",,"20947.000000","A",,"22249.000000","A",,"22808.000000","A",,"24646.000000","A",,"23696.000000","A",,"21538.000000","A",,"31189.000000","A",,"29684.000000","A",,"27613.000000","A",,"31314.000000","A",,"32960.000000","A",
"16","'050","Bangladesh","27","'0113","Rice","5419","Yield","100 g/ha","17005.000000","E",,"15302.000000","E",,"17690.000000","E",,"17070.000000","E",,"16827.000000","E",,"15827.000000","E",,"16944.000000","E",,"17466.000000","E",,"17459.000000","E",,"16862.000000","E",,"16022.000000","E",,"15716.000000","E",,"18083.000000","E",,"17289.000000","E",,"18531.000000","E",,"17839.000000","E",,"19398.000000","E",,"19385.000000","E",,"18809.000000","E",,"20197.000000","E",,"19545.000000","E",,"20145.000000","E",,"22345.000000","E",,"21454.000000","E",,"21693.000000","E",,"21783.000000","E",,"22399.000000","E",,"22805.000000","E",,"25562.000000","E",,"25661.000000","E",,"26592.000000","A",,"26893.000000","A",,"27185.000000","A",,"25328.000000","A",,"26527.000000","A",,"27629.000000","A",,"27431.000000","A",,"29358.000000","A",,"32139.000000","A",,"34836.000000","A",,"34020.000000","A",,"34902.000000","A",,"35768.000000","A",,"35359.000000","A",,"37814.000000","A",,"38541.000000","A",,"40833.000000","A",,"41441.000000","A",,"42404.000000","A",,"43422.000000","A",,"43917.000000","A",,"44206.000000","A",,"45317.000000","A",,"45382.000000","A",,"45518.000000","A",,"45863.000000","A",,"46619.000000","A",,"47257.000000","A",,"47402.000000","A",,"48088.000000","A",,"48667.000000","E",
"18","'064","Bhutan","27","'0113","Rice","5419","Yield","100 g/ha","20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20000.000000","E",,"20500.000000","E",,"20172.000000","E",,"20000.000000","E",,"21560.000000","E",,"19375.000000","E",,"18000.000000","E",,"17568.000000","I",,"16574.000000","E",,"16538.000000","E",,"20976.000000","I",,"12085.000000","E",,"13133.000000","E",,"14392.000000","E",,"16071.000000","E",,"16667.000000","E",,"16508.000000","E",,"17223.000000","E",,"17973.000000","E",,"18629.000000","E",,"17038.000000","E",,"17391.000000","E",,"19987.000000","A",,"22871.000000","A",,"28816.000000","A",,"26896.000000","A",,"27461.000000","A",,"27043.000000","A",,"39983.000000","A",,"27993.000000","A",,"31400.000000","A",,"32382.000000","A",,"36893.000000","A",,"36985.000000","A",,"37635.000000","A",,"40192.000000","A",,"38796.000000","A",,"40745.000000","A",,"42362.000000","A",,"40698.000000","A",,"42644.000000","A",,"41593.000000","A",
"26","'096","Brunei Darussalam","27","'0113","Rice","5419","Yield","100 g/ha","17306.000000","E",,"18527.000000","E",,"13711.000000","E",,"13235.000000","E",,"11737.000000","E",,"13922.000000","E",,"15871.000000","E",,"15868.000000","E",,"18581.000000","E",,"19621.000000","E",,"16024.000000","E",,"16175.000000","E",,"24251.000000","E",,"29040.000000","E",,"27178.000000","E",,"19647.000000","E",,"15034.000000","E",,"15917.000000","E",,"21759.000000","E",,"13797.000000","E",,"13643.000000","E",,"14825.000000","E",,"15797.000000","E",,"15571.000000","I",,"12394.000000","E",,"21359.000000","E",,"10630.000000","E",,"21685.000000","E",,"22286.000000","I",,"15500.000000","I",,"16000.000000","E",,"12333.000000","E",,"22571.000000","E",,"16702.000000","E",,"16387.000000","E",,"16519.000000","E",,"12497.000000","E",,"10707.000000","E",,"5263.000000","A",,"6500.000000","A",,"7292.000000","A",,"7294.000000","A",,"7928.000000","A",,"8190.000000","A",,"8728.000000","A",,"8091.000000","A",,"7255.000000","A",,"7008.000000","A",,"5147.000000","A",,"5801.000000","A",,"9227.000000","A",,"9772.000000","A",,"9664.000000","A",,"14542.000000","E",,"21460.000000","A",,"15584.000000","A",,"16604.000000","A",,"20040.000000","A",,"19410.000000","A",,"29442.000000","A",,"28852.000000","A",
"115","'116","Cambodia","27","'0113","Rice","5419","Yield","100 g/ha","10921.000000","E",,"8920.000000","E",,"11742.000000","E",,"11611.000000","E",,"10666.000000","E",,"10889.000000","E",,"12163.000000","E",,"13989.000000","E",,"12876.000000","E",,"15898.000000","E",,"14532.000000","E",,"13774.000000","E",,"12947.000000","E",,"11441.000000","E",,"12000.000000","E",,"11000.000000","E",,"10000.000000","E",,"10000.000000","E",,"6951.000000","E",,"11924.000000","E",,"11314.000000","E",,"12068.000000","E",,"12649.000000","E",,"12883.000000","E",,"12497.000000","E",,"13770.000000","E",,"13248.000000","E",,"13699.000000","E",,"14358.000000","E",,"13477.000000","E",,"13962.000000","A",,"13178.000000","A",,"13069.000000","A",,"14877.000000","A",,"17920.000000","A",,"18116.000000","A",,"17706.000000","A",,"17884.000000","A",,"19433.000000","A",,"21155.000000","A",,"20699.000000","A",,"19164.000000","A",,"21012.000000","A",,"19773.000000","A",,"24793.000000","A",,"24893.000000","A",,"26216.000000","A",,"27457.000000","A",,"28363.000000","A",,"29697.000000","A",,"29574.000000","A",,"30892.000000","A",,"31691.000000","E",,"32611.000000","E",,"33350.000000","E",,"34443.000000","E",,"33974.000000","E",,"34011.000000","E",,"33353.000000","A",,"33851.000000","A",,"35075.000000","E",
"96","'344","China, Hong Kong SAR","27","'0113","Rice","5419","Yield","100 g/ha","20168.000000","E",,"17201.000000","E",,"18408.000000","E",,"13962.000000","E",,"24362.000000","E",,"17563.000000","E",,"19331.000000","E",,"17787.000000","E",,"23654.000000","E",,"23669.000000","E",,"22888.000000","E",,"20568.000000","E",,"22265.000000","E",,"16159.000000","E",,"17924.000000","E",,"18863.000000","E",,"18827.000000","E",,"18817.000000","E",,"15152.000000","E",,"21212.000000","E",,"15000.000000","E",,"15385.000000","E",,"13333.000000","E",,"21818.000000","E",,"25000.000000","E",,"22000.000000","E",,"12500.000000","E",,"30000.000000","E",,"30000.000000","E",,"20000.000000","I",,,,,,,,,,,,,,,,,,,,"19226.000000","E",,"19245.000000","E",,"19292.000000","E",,"19233.000000","E",,"19058.000000","E",,"19899.000000","E",,"19898.000000","E",,"19898.000000","E",,"19899.000000","E",,,,,"19854.000000","E",,"19752.000000","E",,"20004.000000","E",,"20004.000000","E",,"20004.000000","E",,"20004.000000","E",,"20004.000000","E",,"20306.000000","E",,"20794.000000","E",,"20957.000000","E",,"21011.000000","E",,"21188.000000","E",,"20377.000000","E",,"20490.000000","E",,"20604.000000","E",
"41","'156","China, mainland","27","'0113","Rice","5419","Yield","100 g/ha","20434.000000","E",,"23408.000000","E",,"26642.000000","E",,"28062.000000","E",,"29441.000000","E",,"31277.000000","E",,"30811.000000","E",,"31653.000000","E",,"31269.000000","E",,"34025.000000","E",,"33026.000000","E",,"32288.000000","E",,"34727.000000","E",,"34926.000000","E",,"35178.000000","E",,"34771.000000","E",,"36226.000000","E",,"39781.000000","E",,"42481.000000","E",,"41338.000000","E",,"43280.000000","E",,"48913.000000","E",,"50961.000000","E",,"53726.000000","E",,"52563.000000","E",,"53376.000000","E",,"54130.000000","E",,"52868.000000","E",,"55085.000000","E",,"57261.000000","E",,"56402.000000","A",,"58031.000000","A",,"58479.000000","A",,"58311.000000","A",,"60248.000000","A",,"62122.000000","A",,"63192.000000","A",,"63662.000000","A",,"63447.000000","A",,"62716.000000","A",,"61634.000000","A",,"61889.000000","A",,"60607.000000","A",,"63107.000000","A",,"62601.000000","A",,"62796.000000","A",,"64329.000000","A",,"65625.000000","A",,"65853.000000","A",,"65530.000000","A",,"66873.000000","A",,"67769.000000","A",,"67173.000000","A",,"68132.000000","A",,"68913.000000","A",,"68657.000000","A",,"69169.000000","A",,"70266.000000","A",,"70601.000000","A",,"70432.000000","A",,"71135.000000","A",
"214","'158","China, Taiwan Province of","27","'0113","Rice","5419","Yield","100 g/ha","32663.000000","I",,"33723.000000","I",,"33583.000000","I",,"37244.000000","I",,"38454.000000","I",,"38086.000000","I",,"38647.000000","I",,"40166.000000","I",,"37126.000000","I",,"39944.000000","I",,"38744.000000","I",,"41429.000000","I",,"39310.000000","I",,"39931.000000","I",,"40085.000000","I",,"43536.000000","E",,"43095.000000","E",,"41120.000000","E",,"42964.000000","E",,"46537.000000","E",,"45044.000000","E",,"47641.000000","E",,"48706.000000","E",,"48419.000000","E",,"48784.000000","E",,"46966.000000","E",,"47907.000000","E",,"49503.000000","E",,"49537.000000","E",,"50272.000000","E",,"53909.000000","A",,"52118.000000","A",,"57119.000000","A",,"56348.000000","A",,"57004.000000","A",,"55524.000000","A",,"56064.000000","A",,"51975.000000","A",,"54271.000000","A",,"56127.000000","A",,"51984.000000","A",,"58774.000000","A",,"60571.000000","A",,"60486.000000","A",,"54540.000000","A",,"59199.000000","A",,"52417.000000","A",,"57757.000000","A",,"61989.000000","A",,"59501.000000","A",,"65536.000000","A",,"65202.000000","A",,"58835.000000","A",,"63907.000000","A",,"62802.000000","A",,"57983.000000","A",,"63859.000000","A",,"71814.000000","A",,"66325.000000","A",,"66877.000000","A",,"69675.000000","A",
"116","'408","Democratic People's Republic of Korea","27","'0113","Rice","5419","Yield","100 g/ha","43071.000000","E",,"43116.000000","E",,"46056.000000","E",,"45335.000000","E",,"39688.000000","E",,"42566.000000","E",,"39536.000000","E",,"38260.000000","E",,"44215.000000","E",,"43915.000000","E",,"45419.000000","E",,"43613.000000","E",,"45588.000000","E",,"45167.000000","E",,"45019.000000","E",,"45295.000000","E",,"47091.000000","E",,"45011.000000","E",,"46365.000000","E",,"40714.000000","E",,"45446.000000","E",,"31406.000000","E",,"32000.000000","E",,"34000.000000","E",,"32760.000000","E",,"37008.000000","E",,"34403.000000","E",,"33008.000000","E",,"34000.000000","E",,"30000.000000","E",,"70068.000000","A",,"76014.000000","A",,"81273.000000","A",,"54494.000000","A",,"34639.000000","A",,"24586.000000","A",,"24992.000000","A",,"39776.000000","A",,"40397.000000","A",,"31589.000000","A",,"36017.000000","A",,"37505.000000","A",,"38425.000000","A",,"40652.000000","A",,"44282.000000","A",,"42484.000000","A",,"32045.000000","A",,"50176.000000","E",,"41054.000000","A",,"42561.000000","A",,"43415.000000","A",,"50817.000000","A",,"53035.000000","A",,"50019.000000","A",,"41831.000000","E",,"54119.000000","A",,"50158.000000","A",,"44277.000000","A",,"60186.000000","A",,"44930.000000","A",,"39976.000000","E",
"100","'356","India","27","'0113","Rice","5419","Yield","100 g/ha","15419.000000","E",,"13959.000000","E",,"15498.000000","E",,"16171.000000","E",,"12936.000000","E",,"12952.000000","E",,"15484.000000","E",,"16134.000000","E",,"16094.000000","E",,"16849.000000","E",,"17110.000000","E",,"16046.000000","E",,"17259.000000","E",,"15744.000000","E",,"18582.000000","E",,"16372.000000","E",,"19613.000000","E",,"19912.000000","E",,"16105.000000","E",,"20002.000000","E",,"19623.000000","E",,"18497.000000","E",,"21833.000000","E",,"21272.000000","E",,"23292.000000","E",,"22052.000000","E",,"21991.000000","E",,"25486.000000","E",,"26160.000000","E",,"26125.000000","E",,"26271.000000","A",,"26092.000000","A",,"28303.000000","A",,"28645.000000","A",,"26972.000000","A",,"28226.000000","A",,"28457.000000","A",,"28805.000000","A",,"29782.000000","A",,"28508.000000","A",,"31158.000000","A",,"26163.000000","A",,"31177.000000","A",,"29756.000000","A",,"31537.000000","A",,"31759.000000","A",,"32924.000000","A",,"32509.000000","A",,"32366.000000","A",,"33587.000000","A",,"35878.000000","A",,"36909.000000","A",,"36070.000000","A",,"35638.000000","A",,"36077.000000","A",,"37902.000000","A",,"38639.000000","A",,"39568.000000","A",,"40837.000000","A",,"41380.000000","A",,"42137.000000","A",
"101","'360","Indonesia","27","'0113","Rice","5419","Yield","100 g/ha","17623.000000","E",,"17855.000000","E",,"17226.000000","E",,"17630.000000","E",,"17708.000000","E",,"17748.000000","E",,"17592.000000","E",,"21398.000000","E",,"22487.000000","E",,"23763.000000","E",,"24254.000000","E",,"24556.000000","E",,"25572.000000","E",,"26412.000000","E",,"26297.000000","E",,"27843.000000","E",,"27929.000000","E",,"28862.000000","E",,"29855.000000","E",,"32928.000000","E",,"34934.000000","E",,"37363.000000","E",,"38530.000000","E",,"39060.000000","E",,"39418.000000","E",,"39773.000000","E",,"40391.000000","E",,"41108.000000","E",,"42470.000000","E",,"43018.000000","E",,"43465.000000","A",,"43446.000000","A",,"43750.000000","A",,"43453.000000","A",,"43487.000000","A",,"44168.000000","A",,"44322.000000","A",,"41974.000000","A",,"42519.000000","A",,"44007.000000","A",,"43879.000000","A",,"44691.000000","A",,"45426.000000","A",,"45365.000000","A",,"45739.000000","A",,"46201.000000","A",,"46468.000000","E",,"49165.000000","E",,"50105.000000","E",,"50253.000000","E",,"49995.000000","E",,"51510.000000","E",,"51668.000000","E",,"51477.000000","E",,"53588.000000","E",,"50973.000000","E",,"50690.000000","E",,"52031.000000","A",,"51137.000000","A",,"51279.000000","A",,"52263.000000","A",
"102","'364","Iran (Islamic Republic of)","27","'0113","Rice","5419","Yield","100 g/ha","21429.000000","I",,"28367.000000","I",,"28700.000000","I",,"28665.000000","I",,"28389.000000","I",,"25594.000000","E",,"27988.000000","E",,"27374.000000","E",,"28022.000000","E",,"27937.000000","E",,"30407.000000","E",,"31830.000000","E",,"30737.000000","E",,"30115.000000","E",,"31020.000000","E",,"37893.000000","E",,"34665.000000","E",,"39547.000000","E",,"32726.000000","E",,"28356.000000","E",,"35366.000000","E",,"33223.000000","E",,"28305.000000","E",,"33608.000000","E",,"37111.000000","E",,"37873.000000","E",,"34220.000000","E",,"30356.000000","E",,"35723.000000","E",,"37787.000000","E",,"40469.000000","A",,"39597.000000","A",,"38758.000000","A",,"40097.000000","A",,"40683.000000","A",,"44722.000000","A",,"41727.000000","A",,"45053.000000","A",,"39994.000000","A",,"36915.000000","A",,"38661.000000","A",,"47241.000000","A",,"47639.000000","A",,"41580.000000","A",,"43573.000000","A",,"41426.000000","A",,"43257.000000","A",,"39285.000000","A",,"39883.000000","A",,"44187.000000","A",,"35717.000000","A",,"41404.000000","A",,"43363.000000","A",,"43542.000000","A",,"44299.000000","A",,"49008.000000","A",,"49292.000000","A",,"49292.000000","A",,"43242.000000","E",,"36818.000000","A",,"36818.000000","A",
"103","'368","Iraq","27","'0113","Rice","5419","Yield","100 g/ha","27381.000000","I",,"28275.000000","I",,"26039.000000","I",,"28362.000000","I",,"27451.000000","I",,"28013.000000","I",,"30575.000000","E",,"32431.000000","E",,"30000.000000","E",,"24027.000000","E",,"28118.000000","E",,"28511.000000","E",,"24487.000000","E",,"22056.000000","E",,"20261.000000","E",,"31171.000000","E",,"31384.000000","E",,"31434.000000","E",,"26882.000000","E",,"30099.000000","E",,"29761.000000","E",,"28356.000000","E",,"22597.000000","E",,"27765.000000","E",,"28348.000000","E",,"28127.000000","E",,"27986.000000","E",,"27855.000000","E",,"31863.000000","E",,"28889.000000","E",,"22008.000000","A",,"18947.000000","A",,"18727.000000","A",,"23497.000000","E",,"18000.000000","E",,"22500.000000","E",,"20165.000000","E",,"23438.000000","E",,"13846.000000","E",,"6000.000000","E",,"12800.000000","E",,"25000.000000","E",,"30508.000000","A",,"28409.000000","A",,"28879.000000","A",,"28867.000000","A",,"31630.000000","A",,"29281.000000","A",,"31511.000000","A",,"32482.000000","A",,"35762.000000","A",,"45468.000000","A",,"47162.000000","A",,"51049.000000","A",,"44776.000000","A",,"48056.000000","A",,"48975.000000","A",,"33556.000000","A",,"45014.000000","A",,"45688.000000","A",,"43922.000000","A",
